project,months,supply_avg,borrow_avg,util_avg,fees_total,rev_total,take_rate,passthru,holders_total,holders_share_of_rev,rev_to_supply,rev_to_borrow,fees_to_borrow
moonwell-lending,27.0,248680399.96296296,131245760.5925926,0.5277688173741862,23709875.0,5091014.0,21.47212501120314,78.52790451236035,10226.0,0.20086371791552723,0.9090416481004197,1.722423944300431,8.021674349426299
venus-core-pool,32.0,2214936028.4375,667389240.0625,0.3013130995631064,136759503.0,24364057.0,17.815257050181003,82.1849484200012,23025541.0,94.50618589506665,0.41221361022247177,1.3680573822384994,7.6791335560583445
fluid-lending,31.0,1604840680.1612904,780447023.8064516,0.48630810114310835,107502238.0,12880310.0,11.981434284186717,87.1393663450988,4745308.0,36.84156670142256,0.31807360080329206,0.654057787759721,5.458927305747999
aave-v3,32.0,32695438133.59375,13365148829.21875,0.40877717480367365,1743520357.0,233538745.0,13.394666948531647,86.60532989693105,42944358.0,18.38853677148946,0.26794879281073425,0.6554886361730542,4.893653860090267
euler-v2,25.0,1298354320.56,692616003.64,0.5334568481593408,87392234.0,4685465.0,5.361420329408217,94.63745943375244,3193103.0,68.1491164697634,0.1821855960227778,0.34151890007860564,6.369933321685709
sparklend,26.0,5155944213.307693,1731888867.9615386,0.3359013977481498,181564835.0,7305714.0,4.023749422623604,95.97619550063204,2881255.0,39.43837659125446,0.06588365202209617,0.19613985670727707,4.874554454223147
compound-v3,19.0,2488455154.894737,776756648.1052631,0.3121441214551927,50833221.0,387552.0,0.7623990618261235,99.23759306930403,0.0,0.0,0.010025590678280932,0.032118467045102024,4.212815656956714
morpho-blue,31.0,6232057138.548388,2213381703.193548,0.3551606883548414,338195993.0,0.0,0.0,100.0,0.0,,0.0,0.0,6.003289576374425
