curator,vaults,aum_usd,w_median_apy,w_iqr_apy,w_reward_days_share,spike_days_total,w_aum_growth_pct
Gauntlet,10,546876039,3.91,1.12,0.002,51,1551
Steakhouse Financial,8,386159541,3.16,0.97,0.017,46,254
SparkDAO,1,303948497,3.93,1.07,0.000,0,-57
без куратора,5,100946803,4.29,1.59,0.113,66,1512
Felix,2,24036688,2.30,1.39,0.020,57,570
Hakutora,1,17011649,2.98,0.95,0.016,4,-63
Yearn,2,16189316,4.32,2.22,0.244,14,479
Pangolins,1,11849088,3.95,0.73,0.000,0,2000
